x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2
630,13,10,1590,445,866,8300,19,1,11,289,236
625,13,10,1590,445,866,8300,19,1,11,601,232
619,13,10,1590,445,866,8300,19,1,11,1140,225
607,13,10,1590,445,866,8300,19,1,11,2640,207
598,13,10,1590,445,866,8300,19,1,11,4300,186
622,12,101,1230,3480,2280,7940,17,22,16,159,935
620,12,101,1230,3480,2280,7940,17,22,16,914,904
619,12,101,1230,3480,2280,7940,17,22,16,1600,886
615,12,101,1230,3480,2280,7940,17,22,16,3410,819
611,12.1,101,1230,3480,2280,7940,17,22,16,5190,750
615,12,330,1010,3440,1210,6590,16,2,1,152,722
613,12,330,1010,3440,1210,6590,16,2,1,874,703
611,12,330,1010,3440,1210,6590,16,2,1,1590,685
607,12,330,1010,3440,1210,6590,16,2,1,3400,634
603,12,330,1010,3440,1210,6590,16,2,1,5200,578
638,14,108,278,1730,805,9550,8,7,22,297,260
631,14,108,278,1730,805,9550,8,7,22,823,253
625,14,108,278,1730,805,9550,8,7,22,1300,249
613,14,108,278,1730,805,9550,8,7,22,2770,235
603,14,108,278,1730,805,9550,8,7,22,4410,215
635,17,154,2030,3150,1460,7110,13,2,0,268,424
633,17,154,2030,3150,1460,7110,13,2,0,948,416
631,17,154,2030,3150,1460,7110,13,2,0,1640,407
626,17,154,2030,3150,1460,7110,13,2,0,3380,387
622,17,154,2030,3150,1460,7110,13,2,0,5150,366
636,17,56,1180,1010,1220,7470,1,23,6,294,227
631,17,56,1180,1010,1220,7470,1,23,6,868,226
627,17.1,56,1180,1010,1220,7470,1,23,6,1530,219
618,17,56,1180,1010,1220,7470,1,23,6,3110,213
611,17,56,1180,1010,1220,7470,1,23,6,4760,204
632,15,282,2390,3570,716,8060,13,12,3,134,567
630,15,282,2390,3570,716,8060,13,12,3,793,560
627,15,282,2390,3570,716,8060,13,12,3,1840,543
622,15,282,2390,3570,716,8060,13,12,3,3560,520
618,15,282,2390,3570,716,8060,13,12,3,5320,491
645,17,59,837,2250,1510,10400,6,17,18,255,340
641,17,59,837,2250,1510,10400,6,17,18,830,334
638,17,59,837,2250,1510,10400,6,17,18,1410,329
630,17,59,837,2250,1510,10400,6,17,18,2900,313
623,17,59,837,2250,1510,10400,6,17,18,4630,298
615,16,346,340,253,1950,7030,16,1,3,58.7,278
612,16,346,340,253,1950,7030,16,1,3,736,271
609,16,346,340,253,1950,7030,16,1,3,1430,264
603,16,346,340,253,1950,7030,16,1,3,3160,246
598,16.1,346,340,253,1950,7030,16,1,3,4880,223
608,12,380,1300,1080,1440,6090,1,15,20,91.3,627
606,12,380,1300,1080,1440,6090,1,15,20,817,604
604,12,380,1300,1080,1440,6090,1,15,20,1510,585
599,12,380,1300,1080,1440,6090,1,15,20,3280,524
594,12,380,1300,1080,1440,6090,1,15,20,4930,465
622,14,351,2360,1920,2360,6580,26,2,19,-0.83,694
621,14,351,2360,1920,2360,6580,26,2,19,708,678
619,14,351,2360,1920,2360,6580,26,2,19,1430,661
616,14,351,2360,1920,2360,6580,26,2,19,3210,616
612,14,351,2360,1920,2360,6580,26,2,19,4960,570
621,15,109,560,1080,1640,8020,14,23,20,351,360
618,15,109,560,1080,1640,8020,14,23,20,985,352
615,15,109,560,1080,1640,8020,14,23,20,1630,343
608,15.1,109,560,1080,1640,8020,14,23,20,3280,316
602,15,109,560,1080,1640,8020,14,23,20,4780,294
635,17,50,643,2740,1010,7370,16,12,5,89,265
629,17,50,643,2740,1010,7370,16,12,5,1090,256
628,17,50,643,2740,1010,7370,16,12,5,1350,254
620,17,50,643,2740,1010,7370,16,12,5,2990,240
614,17,50,643,2740,1010,7370,16,12,5,4640,228
622,18,407,1320,364,1790,6820,28,1,5,58.6,280
620,18,407,1320,364,1790,6820,28,1,5,729,275
618,18,407,1320,364,1790,6820,28,1,5,1410,269
612,18,407,1320,364,1790,6820,28,1,5,3100,253
607,18.1,407,1320,364,1790,6820,28,1,5,4730,235
626,15,372,1050,1580,793,9120,12,20,2,310,421
623,15,372,1050,1580,793,9120,12,20,2,823,416
620,15,372,1050,1580,793,9120,12,20,2,1470,411
614,15,372,1050,1580,793,9120,12,20,2,3150,392
608,15,372,1050,1580,793,9120,12,20,2,4830,368
620,16,379,352,1790,2080,7520,19,8,20,430,422
618,16,379,352,1790,2080,7520,19,8,20,1120,412
616,16,379,352,1790,2080,7520,19,8,20,1800,402
612,16,379,352,1790,2080,7520,19,8,20,3500,374
607,16,379,352,1790,2080,7520,19,8,20,5110,346
627,14,43,933,3230,866,9720,25,6,29,451,422
625,14,43,933,3230,866,9720,25,6,29,831,415
622,14,43,933,3230,866,9720,25,6,29,1460,404
616,14,43,933,3230,866,9720,25,6,29,3090,373
610,14,43,933,3230,866,9720,25,6,29,4720,342
633,16,146,1060,3280,1420,9690,27,14,17,289,484
631,16,146,1060,3280,1420,9690,27,14,17,961,473
629,16,146,1060,3280,1420,9690,27,14,17,1610,462
624,16,146,1060,3280,1420,9690,27,14,17,3290,436
619,16,146,1060,3280,1420,9690,27,14,17,4910,412
616,15,164,355,1570,1300,7900,29,30,26,372,397
614,15,164,355,1570,1300,7900,29,30,26,979,385
611,15,164,355,1570,1300,7900,29,30,26,1570,373
604,15.1,164,355,1570,1300,7900,29,30,26,2980,340
596,15,164,355,1570,1300,7900,29,30,26,4080,316
621,16,302,1220,1460,974,6380,7,25,2,497,341
618,16,302,1220,1460,974,6380,7,25,2,1160,336
616,16,302,1220,1460,974,6380,7,25,2,1830,330
609,16,302,1220,1460,974,6380,7,25,2,3510,312
604,16,302,1220,1460,974,6380,7,25,2,5060,296
630,16,48,1080,3020,1840,7510,19,16,26,170,458
628,16,48,1080,3020,1840,7510,19,16,26,841,447
626,16,48,1080,3020,1840,7510,19,16,26,1510,437
621,16,48,1080,3020,1840,7510,19,16,26,3180,411
616,16,48,1080,3020,1840,7510,19,16,26,4830,384
625,15,383,1800,3510,1410,6210,26,10,1,449,619
623,15,383,1800,3510,1410,6210,26,10,1,1110,606
622,15,383,1800,3510,1410,6210,26,10,1,1810,595
618,15,383,1800,3510,1410,6210,26,10,1,3560,561
614,15,383,1800,3510,1410,6210,26,10,1,5260,527
626,16,247,1650,150,1410,8900,10,30,27,138,377
